id,full_name,parent_id,rank,rank_name,taxref,niamoto
1000,Atractocarpus (spA_MacKee25341),3031,SPECIES,(spA_MacKee25341),15063,
1001,Hugonia (Munzinger3338),7162,SPECIES,(Munzinger3338),15064,
1031,Goniothalamus (Hmoope_Vandrot296),1237,SPECIES,(Hmoope_Vandrot296),15128,
1038,Cryptocarya (Munzinger5178),1868,SPECIES,(Munzinger5178),15132,
1060,Cryptocarya (aff_aristata_Munzinger5874),1868,SPECIES,(aff_aristata_Munzinger5874),14725,
1061,Cryptocarya (aurea_Munzinger4792),1868,SPECIES,(aurea_Munzinger4792),13509,
1062,Cryptocarya (glauque_Munzinger5832),1868,SPECIES,(glauque_Munzinger5832),15102,
1064,Garcinia (Munzinger4818),4490,SPECIES,(Munzinger4818),13523,
1092,Flindersia,4231,GENUS,Flindersia,782,
1093,Periomphale,3531,GENUS,Periomphale,1187,
1101,Plerandra veilloniorum,1469,SPECIES,veilloniorum,15279,
1178,Plerandra pancheri,1469,SPECIES,pancheri,15275,
1179,Amborella,3532,GENUS,Amborella,300,
1180,Euroschinus,3530,GENUS,Euroschinus,763,
1182,Semecarpus,3530,GENUS,Semecarpus,1368,
1190,Psychotria (sp26),3121,SPECIES,(sp26),13310,
121,Cunonia,3873,GENUS,Cunonia,611,
1210,Antirhea (spF_Munzinger1414),2970,SPECIES,(spF_Munzinger1414),15392,
1237,Goniothalamus,3533,GENUS,Goniothalamus,12814,
1238,Meiogyne,3533,GENUS,Meiogyne,1037,
1260,Xylopia,3533,GENUS,Xylopia,1557,
1261,Archidendropsis granulosa,1304,SPECIES,granulosa,1875,
1263,Apiopetalum,3534,GENUS,Apiopetalum,328,
1303,Albizia,6086,GENUS,Albizia,280,
1304,Archidendropsis,6086,GENUS,Archidendropsis,337,
1308,Serianthes,6086,GENUS,Serianthes,1371,
1384,Alstonia,3543,GENUS,Alstonia,294,
1385,Alyxia,3543,GENUS,Alyxia,298,
1388,Artia,3543,GENUS,Artia,353,
1398,Cerberiopsis,3543,GENUS,Cerberiopsis,512,
14,Alangium,3870,GENUS,Alangium,279,
1404,Archirhodomyrtus baladensis,1974,SPECIES,baladensis,1883,
1413,Archirhodomyrtus vieillardii,1974,SPECIES,vieillardii,1886,
1427,Melodinus,3543,GENUS,Melodinus,1046,
1428,Neisosperma,3543,GENUS,Neisosperma,1093,
1429,Ochrosia,3543,GENUS,Ochrosia,1122,
1443,Parsonsia,3543,GENUS,Parsonsia,1172,
1444,Rauvolfia,3543,GENUS,Rauvolfia,1295,
1449,Ilex,3544,GENUS,Ilex,894,
1467,Meryta,3603,GENUS,Meryta,1051,
1469,Plerandra,3603,GENUS,Plerandra,13530,
1483,Polyscias,3603,GENUS,Polyscias,1245,
1484,Schefflera,3603,GENUS,Schefflera,1350,
1486,Agathis,8408,GENUS,Agathis,271,
1487,Basselinia,3636,GENUS,Basselinia,388,
1492,Alangium villosum subsp. bussyanum,7120,INFRASPECIES,subsp. bussyanum,15551,
15,Corynocarpus,3871,GENUS,Corynocarpus,584,
1500,Clinosperma,3636,GENUS,Clinosperma,552,
1506,Cyphokentia,3636,GENUS,Cyphokentia,630,
151,Myrsine,4222,GENUS,Myrsine,15468,
1524,Cyphophoenix,3636,GENUS,Cyphophoenix,633,
1525,Cyphosperma,3636,GENUS,Cyphosperma,634,
1526,Kentiopsis,3636,GENUS,Kentiopsis,917,
1528,Cordyline,3655,GENUS,Cordyline,578,
1652,Balanops,3662,GENUS,Balanops,381,
1690,Deplanchea,3668,GENUS,Deplanchea,657,
1717,Canarium,3690,GENUS,Canarium,463,
1730,Calophyllum,3725,GENUS,Calophyllum,454,
1731,Mammea,3725,GENUS,Mammea,1018,
1733,Arytera chartacea,3281,SPECIES,chartacea,1954,
174,Huberantha nitidissima,175,SPECIES,nitidissima,15819,
1740,Citronella,3730,GENUS,Citronella,540,
175,Huberantha,3533,GENUS,Huberantha,15818,
1766,Scaevola,4124,GENUS,Scaevola,1348,
1768,Arytera lepidota,3281,SPECIES,lepidota,1957,
1802,Hernandia,4126,GENUS,Hernandia,858,
1804,Ascarina solmsiana,7182,SPECIES,solmsiana,1961,
1806,Melastoma malabathricum L. subsp. malabathricum,7106,INFRASPECIES,subsp. malabathricum,13225,
1808,Myrsine citrifolia,151,SPECIES,citrifolia,15476,
1820,Myrsine lanceolata,151,SPECIES,lanceolata,15487,
1842,Apodytes,4129,GENUS,Apodytes,331,
1847,Gmelina,4135,GENUS,Gmelina,813,
1848,Oxera,4135,GENUS,Oxera,1152,
1851,Myrsine asymmetrica,151,SPECIES,asymmetrica,15470,
1852,Vitex,4135,GENUS,Vitex,12536,
1855,Beilschmiedia,4136,GENUS,Beilschmiedia,396,
1857,Myrsine diminuta,151,SPECIES,diminuta,15477,
1868,Cryptocarya,4136,GENUS,Cryptocarya,603,
1872,Endiandra,4136,GENUS,Endiandra,727,
1875,Litsea,4136,GENUS,Litsea,977,
1880,Barringtonia,4138,GENUS,Barringtonia,386,
1887,Geniostoma,4144,GENUS,Geniostoma,799,
1889,Neuburgia,4144,GENUS,Neuburgia,1109,
1901,Acridocarpus,4149,GENUS,Acridocarpus,254,
1918,Maxwellia,3068,GENUS,Maxwellia,1031,
1933,Melastoma,4152,GENUS,Melastoma,1039,
1935,Anthocarapa,4153,GENUS,Anthocarapa,320,
1936,Dysoxylum,4153,GENUS,Dysoxylum,706,
1938,Hypserpa,4154,GENUS,Hypserpa,892,
1940,Geniostoma erythrospermum,1887,SPECIES,erythrospermum,3478,
1950,Pachygone,4154,GENUS,Pachygone,1153,
1953,Coelospermum balansanum,3045,SPECIES,balansanum,2584,
1954,Cryptocarya gracilis,1868,SPECIES,gracilis,2698,
1963,Hedycarya,4157,GENUS,Hedycarya,846,
1964,Kibaropsis,4157,GENUS,Kibaropsis,920,
1966,Ficus,4158,GENUS,Ficus,774,
1969,Trophis,4158,GENUS,Trophis,15098,
1970,Delarbrea,4159,GENUS,Delarbrea,647,
1971,Myodocarpus,4159,GENUS,Myodocarpus,1085,
1974,Archirhodomyrtus,4161,GENUS,Archirhodomyrtus,338,
1976,Cloezia,4161,GENUS,Cloezia,554,
1984,Eugenia,4161,GENUS,Eugenia,758,
1985,Gossia,4161,GENUS,Gossia,13069,
1986,Kanakomyrtus,4161,GENUS,Kanakomyrtus,13098,
1987,Melaleuca,4161,GENUS,Melaleuca,1038,
1988,Metrosideros,4161,GENUS,Metrosideros,1052,
1991,Piliocalyx,4161,GENUS,Piliocalyx,1212,
1992,Pleurocalyptus,4161,GENUS,Pleurocalyptus,1229,
1994,Rhodamnia,4161,GENUS,Rhodamnia,1300,
1995,Rhodomyrtus,4161,GENUS,Rhodomyrtus,1302,
1998,Syzygium,4161,GENUS,Syzygium,1439,
1999,Tristaniopsis,4161,GENUS,Tristaniopsis,1504,
